first_name,last_name,date_of_birth,gender,address,contact_number,email,enrollment_date,student_class
Alice,Smith,2011-03-20,female,456 Oak Avenue,9871234560,alice.smith@example.com,2025-04-20,6
Bob,Johnson,2012-07-15,male,123 Pine Street,9876543210,bob.johnson@example.com,2025-04-21,7
John,Doe,2011-05-10,male,789 Birch Road,9875678912,john.doe@example.com,2025-04-22,8
Mary,Williams,2010-11-11,female,456 Maple Avenue,9871234567,mary.williams@example.com,2025-04-23,6
James,Brown,2011-02-14,male,789 Cedar Street,9878765432,james.brown@example.com,2025-04-24,7
Emily,Jones,2011-09-19,female,123 Oak Drive,9873456789,emily.jones@example.com,2025-04-25,6
Michael,Garcia,2010-12-05,male,456 Elm Street,9874567890,michael.garcia@example.com,2025-04-26,7
Sophia,Martinez,2011-08-30,female,123 Pine Drive,9875678901,sophia.martinez@example.com,2025-04-27,6
David,Hernandez,2010-06-25,male,789 Oak Drive,9876547890,david.hernandez@example.com,2025-04-28,7
Isabella,Lopez,2011-05-15,female,456 Birch Road,9877654321,isabella.lopez@example.com,2025-04-29,6
Ethan,Jackson,2011-04-22,male,123 Cedar Street,9878765432,ethan.jackson@example.com,2025-04-30,7
Ava,Young,2011-01-10,female,789 Maple Drive,9879876543,ava.young@example.com,2025-05-01,6
Lucas,King,2011-07-17,male,456 Pine Avenue,9873456789,lucas.king@example.com,2025-05-02,7
Mia,Scott,2010-04-30,female,123 Oak Street,9874567890,mia.scott@example.com,2025-05-03,6
Daniel,Adams,2010-10-10,male,789 Cedar Drive,9871234567,daniel.adams@example.com,2025-05-04,7
Charlotte,Nelson,2011-11-01,female,456 Elm Avenue,9876543210,charlotte.nelson@example.com,2025-05-05,6
William,Carter,2011-12-18,male,123 Birch Drive,9875678901,william.carter@example.com,2025-05-06,7
Amelia,Mitchell,2010-09-23,female,789 Oak Avenue,9877654321,amelia.mitchell@example.com,2025-05-07,6
Benjamin,Roberts,2010-11-05,male,456 Pine Drive,9871234567,benjamin.roberts@example.com,2025-05-08,7
Lily,Garcia,2011-02-05,female,123 Elm Avenue,9873456789,lily.garcia@example.com,2025-05-09,6
Jack,Martinez,2011-10-18,male,789 Maple Avenue,9876547890,jack.martinez@example.com,2025-05-10,7
Harper,Walker,2011-01-22,female,456 Cedar Avenue,9879876543,harper.walker@example.com,2025-05-11,6
Samuel,Allen,2011-04-02,male,123 Oak Avenue,9877654321,samuel.allen@example.com,2025-05-12,7
Grace,Young,2010-08-15,female,789 Pine Drive,9876543210,grace.young@example.com,2025-05-13,6
Owen,Harris,2011-06-20,male,456 Birch Drive,9879876543,owen.harris@example.com,2025-05-14,7
Harper,Gonzalez,2011-03-05,female,123 Maple Avenue,9871234567,harper.gonzalez@example.com,2025-05-15,6
Sebastian,Hall,2010-05-17,male,789 Elm Avenue,9874567890,sebstian.hall@example.com,2025-05-16,7
Ella,Lee,2011-09-12,female,456 Pine Drive,9877654321,ella.lee@example.com,2025-05-17,6
Jacob,Martin,2011-07-09,male,123 Oak Avenue,9876543210,jacob.martin@example.com,2025-05-18,7
Zoey,Thompson,2011-04-11,female,789 Maple Avenue,9879876543,zoey.thompson@example.com,2025-05-19,6
Mason,White,2011-10-03,male,456 Cedar Avenue,9876543210,mason.white@example.com,2025-05-20,7
Chloe,King,2011-01-07,female,123 Birch Drive,9871234567,chloe.king@example.com,2025-05-21,6
Aiden,Moore,2011-02-25,male,789 Pine Avenue,9876547890,aiden.moore@example.com,2025-05-22,7
Sophie,Clark,2010-12-28,female,456 Oak Drive,9879876543,sophie.clark@example.com,2025-05-23,6
Matthew,Lopez,2011-08-03,male,123 Maple Avenue,9873456789,matthew.lopez@example.com,2025-05-24,7
Amelia,Anderson,2011-09-25,female,789 Birch Avenue,9876543210,amelia.anderson@example.com,2025-05-25,6
Alexander,Wright,2011-11-07,male,456 Oak Drive,9877654321,alexander.wright@example.com,2025-05-26,7
Mila,Martinez,2011-06-18,female,123 Pine Avenue,9871234567,mila.martinez@example.com,2025-05-27,6
Hunter,Garcia,2011-03-28,male,789 Oak Drive,9876543210,hunter.garcia@example.com,2025-05-28,7
Hannah,Roberts,2010-07-14,female,456 Maple Drive,9877654321,hannah.roberts@example.com,2025-05-29,6
James,Walker,2011-11-13,male,123 Birch Avenue,9871234567,james.walker@example.com,2025-05-30,7
Aria,Allen,2011-10-21,female,789 Pine Street,9876547890,aria.allen@example.com,2025-06-01,6
Sebastian,Scott,2011-04-08,male,456 Oak Avenue,9879876543,sebastian.scott@example.com,2025-06-02,7
Amos,Williams,2011-08-09,male,123 Maple Avenue,9877654321,amos.williams@example.com,2025-06-03,6
Leah,Thompson,2010-10-14,female,789 Cedar Avenue,9871234567,leah.thompson@example.com,2025-06-04,7
Nathan,Moore,2010-12-17,male,456 Birch Drive,9873456789,nathan.moore@example.com,2025-06-05,6
Alice,Harris,2011-04-27,female,123 Oak Street,9876543210,alice.harris@example.com,2025-06-06,7
